case_number,source,prompt,evaluation_seed,coco_id
15988,coco-30k,A white cat is laying by some tennis shoes.,9087,41265
15989,coco-30k,Black and white photograph of dogs riding in bed of truck.,16891,242570
15990,coco-30k,A glass and bottle of wine next to cat statue and window.,29428,307995
15991,coco-30k,A man in a suit is wearing a lit up tie.,42802,21604
15992,coco-30k,Vintage scout master sowing something to girl scouts.,81255,208174
15993,coco-30k,A man with purple hair and braces laughing,69403,492246
15994,coco-30k,Two cows in a small penned area standing together,69082,511349
15995,coco-30k,A couple in their wedding attire posing for the camera,59589,512902
15996,coco-30k,A collection of luggage and bags on a boat.,63412,491515
15997,coco-30k,A baby elephant plays in the water next to an adult one,3011,185837
15998,coco-30k,A person holds a machine to a cow's udders.,41843,531512
15999,coco-30k,A grey and white cat next to a blanket and shelf with blue bottle.,90813,519094
16000,coco-30k,Guys on motorcycles rides along side cars and behind a truck filled with people in the back.,47278,171548
16001,coco-30k,A man scrubs down an elephant in a water hole.,22875,509891
16002,coco-30k,A stack of suit cases stacked from largest on bottom to smallest on top.,10986,437209
16003,coco-30k,Wet black and grey dog retrieving an orange ball.,97343,337525
16004,coco-30k,A cruise ship in the harbor with mountains in the background.,62221,170293
16005,coco-30k,A young man feeds a cow from his hand.,53995,217393
16006,coco-30k,a group of people with umbrellas walk on a side walk ,24909,372817
16007,coco-30k,An old and weathered suitcase sits on the street.,10269,466575
16008,coco-30k,A group of people riding on top of three elephants.,7345,530987
16009,coco-30k,A car that is outside in the dirt.,48598,363887
16010,coco-30k,A person that is on the front of a can.,105,324774
16011,coco-30k,A man in glasses is adjusting his tie.,51220,101948
16012,coco-30k,A man is standing next to his ice cream truck.,91097,258850
16013,coco-30k,"Subaru delivery trucks, employees, and race cars gathered for a group photo.",27724,403793
16014,coco-30k,A boat filled with people floating down a canal.,49008,448849
16015,coco-30k,Two parking meters with a woolen glove on one of them,56985,291144
16016,coco-30k,An elephant strolling through a trail with two people on its back.,56590,157657
16017,coco-30k,Many boats tied to the edge of the bank.,37613,534213
16018,coco-30k,The grass next to the water with umbrellas. ,74162,317250
16019,coco-30k,two people walking in the rain holding open umbrellas,78960,280464
16020,coco-30k,a person holding an open umbrella with words written on it,66340,340047
16021,coco-30k,A cat lounges on top of a big TV.,95800,222467
16022,coco-30k,a close up of two luggage bags on a counter,17918,573926
16023,coco-30k,Man in a suit sitting down and starring ,76061,463452
16024,coco-30k,The photo of the double parking meter has a blurry city in the background.,59518,34071
16025,coco-30k,The passenger train is moving in front of buildings.,13078,491764
16026,coco-30k,A group of people play Frisbee in a field.,90838,232544
16027,coco-30k,Photo of a cat stuck high up in a tree.,64232,514396
16028,coco-30k,Only a child would leave a toy in between two parking meters.,18487,529597
16029,coco-30k,There are three semi-trucks in this hangar two facing in and one facing out.,93767,545749
16030,coco-30k,A brown cow under a tree in a grassy area.,45249,512648
16031,coco-30k,A food truck is parked in front of other cars on the street.,90247,489358
16032,coco-30k,A cat sitting on top of an antique record player.,8095,61492
16033,coco-30k,A business man walking along side the baseball field.,92103,357317
16034,coco-30k,Cat squints through paneled window and metal bars.,72444,572702
16035,coco-30k,A stop sign with road signs sitting on top of it is displayed.,56570,503196
16036,coco-30k,A herd of elephants walks through a clearing. ,40922,196295
16037,coco-30k,A aqua colored truck carrying a wide load down the street.,26207,182233
16038,coco-30k,A cut looking at its reflection in a mirror,62572,342244
16039,coco-30k,a truck with a small cabin built on the back of it,73443,164856
16040,coco-30k,The marina is full of several parked boats.,91845,405632
16041,coco-30k,A man is riding an elephant down the street.,40540,497076
16042,coco-30k,Elephants stand together along a wall in a zoo. ,79415,439781
16043,coco-30k,A pool with several lounge chairs on a sunny day.,96903,369982
16044,coco-30k,"A brown, white and black cat looking at a laptop.",23542,115885
16045,coco-30k,A train is moving down the train tracks.,6625,472755
16046,coco-30k,A cow is leashed up to a green pole near the civilians. ,12680,334555
16047,coco-30k,A big steer is just about to walk onto the road near the folks on the bike. ,87685,343504
16048,coco-30k,A group of people gather underneath some umbrellas.,19850,420181
16049,coco-30k,Rows of suitcases on carpet with crate in background.,28831,108408
16050,coco-30k,A black stove top oven sitting inside of a kitchen.,47413,229631
16051,coco-30k,A row of bamboo umbrellas sitting on top of a beach.,95117,319768
16052,coco-30k,A herd of black and white cows grazing on dry hay.,48342,497139
16053,coco-30k,The person holding a colorful umbrella is in a black and white scenery.,36381,332923
16054,coco-30k,A group of people walk through the middle of the street.,32384,453724
16055,coco-30k,Many boats are docked across from a city.,53861,198247
16056,coco-30k,A young man is sitting in a chair and has mismatched outfit and a name badge.,91952,404476
16057,coco-30k,A man and a dog riding a surf board in the water .,6491,490171
16058,coco-30k,A bunch of table with unbrellas outside of a building .,95613,379314
16059,coco-30k,two yellow red and silver trains on their tracks ,82432,275744
16060,coco-30k,This little Korean truck is carrying soft drink bottles.,83728,227657
16061,coco-30k,The front of a restaurant with outdoor an outdoor dining area.,68324,306486
16062,coco-30k,A group of people gathered in the lobby of  a building.,90286,352684
16063,coco-30k,A place where many elephants are available for ride.,93543,478521
16064,coco-30k,some buildings cars and street meters and a sign,94598,365709
16065,coco-30k,A grey picnic table with umbrella is placed in front of a row of food trucks.,65599,234914
16066,coco-30k,Animals crossing beach with cloudy blue sky and lake in background,75843,382671
16067,coco-30k,People ride an elephant through a path in the forest.,44678,196989
16068,coco-30k,A room i dimly lit and decorated with anime.,70046,463360
16069,coco-30k,a cow eating some hay over a gate,65047,382315
16070,coco-30k,a brown and white cat hanging of of a bed,58465,44022
16071,coco-30k,Boats are parked by the pier under the moon.,47606,408624
16072,coco-30k,Some prize items one might win in a contest or competition.,91387,331236
16073,coco-30k,Cat in window sill of colored panes on building,865,219485
16074,coco-30k,several  wooden boats sitting in the sand,9706,503823
16075,coco-30k,Some African Americans are dressed in ties and working. ,38634,440034
16076,coco-30k,a view through a car windshield of a stop sign,16287,237318
16077,coco-30k,A zookeeper brushes an elephant within its enclosure. ,12388,392212
16078,coco-30k,PRESIDENT BARACK OBAMA WALKING NEAR A WHITE BUILDING.,31315,170955
16079,coco-30k,A yellow train comes to the cross roads of a train track.,10253,326863
16080,coco-30k,a man in a white shirt and his luggage,2422,517388
16081,coco-30k,A gray cat lying on a desk near a telephone.,6664,78426
16082,coco-30k,A group of brightly colored boats in palm grove.,69485,179869
16083,coco-30k,Cat outline in darkness with white stripe background,50846,354424
16084,coco-30k,a man in a red tie and hat is holding a large fish,71541,556131
16085,coco-30k,A large brown elephant walking across a dirty road.,77031,224594
16086,coco-30k,some elephants are walking across a grassy field ,63153,451356
16087,coco-30k,a small boy is wearing a blue and white tie,84198,150677
16088,coco-30k,A white bed with a rucksack and bag on it.,64340,154095
16089,coco-30k,A colorful truck is driving with a full load of sticks and twigs.,77231,188439
16090,coco-30k,A large bridge and some houses on the water.,78110,525927
16091,coco-30k,A group if oeople gathered together to take a picture in the office,35880,18699
16092,coco-30k,A small boy wearing wading boots poses with his Winnie the Pooh doll.,9930,141509
16093,coco-30k,"A child, wearing a cat costume and umbrella, stands before a brick building.",89620,440763
16094,coco-30k,A man with a tie standing by some umbrellas.,8520,559821
16095,coco-30k,A black and white photo of a man sitting by the water holding an umbrella to give him shade. ,50059,449302
16096,coco-30k,A hot dog and bun with mustard is served on a plate.,45527,334305
16097,coco-30k,The two elephants have their trunk on the ground. ,586,213795
16098,coco-30k,A dog sitting on the grass looking at a fake cow that is lit up at night.,27002,90366
16099,coco-30k,"A view of a beer bottle and a beach with chairs, an umbrella and the ocean in the background.",87651,404526
16100,coco-30k,The people walk along the path near to the stores. ,24214,8647
16101,coco-30k,A harbor area with boats and a carousel in the background.,10260,559417
16102,coco-30k,A group of people walking on street with suitcases.,76832,191585
16103,coco-30k,A brown and white dog on a skateboard next to group of people.,3411,372874
16104,coco-30k,Two elephants in a dirt area next to concrete walls.,44124,25743
16105,coco-30k,A herd of elephants crossing river next to trees.,37499,569703
16106,coco-30k,A blue car in gravel parking lot next to bushes and street signs.,9230,311510
16107,coco-30k,A horse in a pasture of tall grass observing an energetic dog.,25477,49269
16108,coco-30k,Two elephants walk in the grass together by trees.,59786,140702
16109,coco-30k,Men in blue with hats are riding elephants.,15034,320743
16110,coco-30k,A man and woman in wedding attire smile.,20017,201220
16111,coco-30k,A very nicely dressed man standing by a door.,56315,475856
16112,coco-30k,Three cows on grass have a white stripe.,18640,373904
16113,coco-30k,A train pulls up to an empty platform.,99171,290827
16114,coco-30k,A closet with several suit cases stacked up near some videos.,60875,451308
16115,coco-30k,A woman underneath a umbrella on a street.,71920,417987
16116,coco-30k,A group of people with suitcases in a room.,90814,255784
16117,coco-30k,An elephant under a canopy with a fence in background.,85628,149232
16118,coco-30k,A woman in black jacket watching a cat eating from pizza box.,9129,515025
16119,coco-30k,A man is in a tv frame and making a funny face. ,53554,213586
16120,coco-30k,A cat peeks its head out of curtains.,9849,239458
16121,coco-30k,A very cloudy day while a large truck passes. ,6393,322143
16122,coco-30k,A person in a vest stands next to a boat.,14746,208283
16123,coco-30k,A long wooden table with a woman sitting under an umbrella.,78591,151938
16124,coco-30k,A person jumps in the air with a tripod in hand.,21359,31121
16125,coco-30k,An old fashion red truck has its hood up near a dog and lady. ,58998,171539
16126,coco-30k,A man riding an elephant in the jungle.,41806,132776
16127,coco-30k,A shrimp boat in dry dock with two sailboats in the water,72461,561270
16128,coco-30k,A small parade of folks in traditional dress that are on parade.,33987,295451
16129,coco-30k,A small herd of elephants walking together through a watering hole.,17566,478374
16130,coco-30k,cow at the waters edge wading in the water,85798,526044
16131,coco-30k,Two men in suits and ties next to plant.,18942,462929
16132,coco-30k,A group of people sitting on a bench in front of a restaurant.,70322,198079
16133,coco-30k,A black and white cat sleeping in a pot with a leaf less tree.,40360,350522
16134,coco-30k,A little girl is in store with an umbrella.,89765,12269
16135,coco-30k,This is an old fashion picture of a young man in a suit.,57200,304438
16136,coco-30k,two little girls in white holding two umbrellas.,88569,351868
16137,coco-30k,An old rusty truck is parked on a grass field.,9624,20947
16138,coco-30k,Two men standing on street next to a tree and building.,11247,111864
16139,coco-30k,A black suitcase with a handle and white background.,13454,304545
16140,coco-30k,A mother elephant letting her baby elephant drink milk,69165,577364
16141,coco-30k,black teddy bear placed in front of mirror,16835,17769
16142,coco-30k,Two elephants walking on cement next to wall,51241,97610
16143,coco-30k,Girl looks back as she fixes flower on boy's suit,60375,11051
16144,coco-30k,A pianist in a suit and glasses playing a keyboard.,82200,227884
16145,coco-30k,A truck is shown with a group of dogs laying down.,35463,504902
16146,coco-30k,A bear sits down on the ground with sand.,94182,231364
16147,coco-30k,"A circular green and white sign that reads ""car parking"" in front of cows.",6383,203687
16148,coco-30k,A group of elephants stand under a waterfall.,79982,287574
16149,coco-30k,A dog is in a living room sitting on the back of a couch.,56137,69021
16150,coco-30k,A herd of animals standing in a large field.,79189,479075
16151,coco-30k,A bunch of cows grazing in a dry field together,48997,89668
16152,coco-30k,A herd of cattle and a dog hanging around on a hay covered ground.,98855,398440
16153,coco-30k,an old man petting a black and white cow,58118,32538
16154,coco-30k,A collection of luggage is in a pile on a green carpet.,43487,227468
16155,coco-30k,Some people are sitting in a model train.,61997,132683
16156,coco-30k,A yellow and blue train engine next to a building.,3223,169098
16157,coco-30k,A man sitting on a set of steps while scratching his ear. ,59408,330348
16158,coco-30k,A sandy beach with people laying on cots under umbrellas.,29108,456525
16159,coco-30k,a close up of a cat in a sink,77641,39828
16160,coco-30k,Black and white photograph of men on a rowboat.,87567,462640
16161,coco-30k,A black and white cat laying on top of a couch.,20149,76522
16162,coco-30k,Bear cubs play among the fallen tree limbs.,38500,79144
16163,coco-30k,A large group of elephants on a grassy field.,13600,293751
16164,coco-30k,Antique black and white photograph of two men sitting in a field,79776,188386
16165,coco-30k,A herd of cattle grazing on a dry grass covered field.,68259,143418
16166,coco-30k,A person standing next to a vehicle on a street.,19539,567205
16167,coco-30k,A white train passing on bridge over cars and trucks.,59154,24693
16168,coco-30k,Looking in to a straw lined pen of cows,3508,52575
16169,coco-30k,A cat sleeping in a person's lap; the cat is also on this person's laptop.,93778,197458
16170,coco-30k,A cat standing next to a window in a room.,25404,188667
16171,coco-30k,A woman getting dessert from a food truck,8122,244815
16172,coco-30k,Two elephants in a grassy area next to trees.,59820,546171
16173,coco-30k,A black and brown car on concrete floor.,37431,411875
16174,coco-30k,Three elephants in a grassy area with trees around.,275,126216
16175,coco-30k,Boats sit stationary in the middle of a canal.,72244,277227
16176,coco-30k,A girl with curly hair and a teddy bear on a bed.,81635,261787
16177,coco-30k,A man with some suitcases on the street.,62298,265151
16178,coco-30k,A row of umbrellas next to trees with buildings in background.,74306,344171
16179,coco-30k,A brown and white dog is catching a frisbee.,45970,254976
16180,coco-30k,People are in the bed of a green truck with an umbrella.,13451,220722
16181,coco-30k,A train on tracks in a city with high rises.,80461,415585
16182,coco-30k,A yellow lab is sleeping on a brown couch.,95682,476767
16183,coco-30k,An old photo of a bride and groom in front of a stone building.,63760,54747
16184,coco-30k,A black and white dog is catching a red frisbee.,73098,185550
16185,coco-30k,A group of picnic tables with umbrellas with the umbrellas folded down.,36080,213356
16186,coco-30k,A large model railroad landscape with trains on it,59367,431257
16187,coco-30k,A ca teating green stuff off the floor,32971,168031
16188,coco-30k,A small brown dog sitting next to a rabbit eating a carrot.,17080,141524
16189,coco-30k,A brown and white cat resting in someones shoe,65610,235274
16190,coco-30k,a number of people at a market with umbrellas,27669,159979
16191,coco-30k,A group of people scrubbing down their elephants,79608,81616
16192,coco-30k,The two cats are laying on the chair together. ,27173,236162
16193,coco-30k,A cat sitting beside a laptop on a desk.,70193,403817
16194,coco-30k,Two people posing next to a giant suitcase in front of a building.,68654,34139
16195,coco-30k,The four men are performing in costumes. ,25787,306467
16196,coco-30k,a  doll sitting on top of an open suitcase ,43513,180296
16197,coco-30k,a green and blue parking meter siting on the sidewalk,84253,370678
16198,coco-30k,A Fawcett's Malt truck sits parked on the side of the road.,84966,294134
16199,coco-30k,The man wears a nice watch and a colorful tie and cufflinks to complete his dapper look.,92215,392174
16200,coco-30k,A large long train on a steel track.,10824,479030
16201,coco-30k,a very old gas pump in a store,87306,507326
16202,coco-30k,A cell phone and book on a couch.,75962,204256
16203,coco-30k,A small toy train on a model track.,95150,195598
16204,coco-30k,A group of cows on a grassy field.,64669,1083
16205,coco-30k,A person riding on the back of an elephant.,24814,181256
16206,coco-30k,A group of cows grazing near a beach as one cow looks up.,65598,416765
16207,coco-30k,A stop sign and a cart on the side of the road.,31129,104965
16208,coco-30k,A brown dog walking across a grass covered field.,21339,123867
16209,coco-30k,A large bear laying on the side of a rocky,12890,165141
16210,coco-30k,A woman sitting on top of a couch with two cats.,14319,373424
16211,coco-30k,A group of people walking around a slum with dirt roads.,60648,520964
16212,coco-30k,A river filled with red boats floating on it.,53507,434192
16213,coco-30k,A blue and white boat with an umbrella on pier.,46126,455480
16214,coco-30k,A guy with a messy hairdo wears business attire.,63097,55810
16215,coco-30k,An empty boat in the water near a tree,82177,365098
16216,coco-30k,Couple wearing hats enjoy a calm elephant ride with tour guide in front,99737,28540
16217,coco-30k,A grey and white cat laying in window sill next to a curtain.,9853,424545
16218,coco-30k,A boy in grey shirt and tie standing next to a door and wall with stickers on it.,25434,482160
16219,coco-30k,A black cat in a tie laying on a carpet next to bookshelf.,58981,337180
16220,coco-30k,A group of elephants standing near the water,28553,516022
16221,coco-30k,A young boy picking up a frisbee in the grass,37216,578227
16222,coco-30k,A large man is holding a black suitcase.,92283,449191
16223,coco-30k,A brown and white cat is in a suitcase.,52598,319865
16224,coco-30k,A black and white cat that is standing on all fours and has an elephant hat on it's head.,96229,545826
16225,coco-30k,A large boat with people on the back in the water.,86050,113860
16226,coco-30k,Two elephants standing in grassy area with trees around.,31362,45710
16227,coco-30k,A group of people sitting and standing by a white and blue ice cream truck.,47953,215845
16228,coco-30k,A man on pier with dog jumping for frisbee into water.,65649,117690
16229,coco-30k,A group of people with umbrellas on the street.,48462,469635
16230,coco-30k,A cat sitting on top of a suitcase on a bed.,50643,520694
16231,coco-30k,A very large teddy bar in the display window of a store.,66304,358642
16232,coco-30k,A truck is carrying bicycles in the back.,18265,229391
16233,coco-30k,A couple of people sitting on top of a elephant.,310,121123
16234,coco-30k,A woman with a baby wrapped up and a dog near the water.,32443,530765
16235,coco-30k,Two young boys playing with a disc in the sand.,51274,159854
16236,coco-30k,Four people petting a brown cow with a bell around his neck. ,71338,318702
16237,coco-30k,a big sail boat in the sea with other boats,79831,140454
16238,coco-30k,A Texas Longhorn bull grazing on grass. ,34840,118594
16239,coco-30k,The people walk down the street holding umbrellas.,64227,484229
16240,coco-30k,Three horses are near a field of many animals in the distance.,14092,549338
16241,coco-30k,Two boats tied to the edge of a dock.,71479,539673
16242,coco-30k,A cow that is sitting on the ground in front of a motorcycle.,19845,277694
16243,coco-30k,A police car onsite of an accident involving a truck on a freeway.,78665,434990
16244,coco-30k,Couple of cats sleeping on opposite ends of the couch,68413,187236
16245,coco-30k,A cow on a hill top looking for something to eat,23059,350491
16246,coco-30k,Woman adjusting man's tie in occupied room with others.,30344,70921
16247,coco-30k,A stop sign stand next to the branches of a tree. ,75695,456768
16248,coco-30k,A man sits on the tires of a car that rests on the ground. ,76995,442456
16249,coco-30k,A group of white work trucks with advertising parked together,93254,502012
16250,coco-30k,A row of white teddy bears on shelf next to DVDs.,26426,125062
16251,coco-30k,A grown and white dog on floor next to person's shoes.,44309,285212
16252,coco-30k,A grey and black cat next to keyboard and monitor.,4044,60792
16253,coco-30k,A man in shirt with napkin tucked in at his neck.,90607,533288
16254,coco-30k,Black and white photograph of people with surfboards next to a car.,91581,414934
16255,coco-30k,A black bull beginning to mount a brown cow. ,4486,555337
16256,coco-30k,a person walking down a street while holding an umbrella ,22216,383001
16257,coco-30k,Two towel shaped elephants on a bed with pillows.,10289,572899
16258,coco-30k,A row of sail boats with trees in background.,82711,341868
16259,coco-30k,A woman talks on her cell phone on the busy sidewalk.,93219,133869
16260,coco-30k,A cat lays in the shade created by a pile of luggage.,36738,318837
16261,coco-30k,an Asian man standing by the back of a taxi cab in the city,32183,385454
16262,coco-30k,a couple of girls stand underneath an umbrella ,69390,487498
16263,coco-30k,A woman is setting up an umbrella on a deck.,38767,3109
16264,coco-30k,A parked truck and trailer with a large load.,21330,497660
16265,coco-30k,A young man wearing a ring adjusting his tie,1046,385222
16266,coco-30k,A cat perched on top of a dresser.,50355,293757
16267,coco-30k,A girl with running mascara and a bottle of Bacardi in an easy chair,2000,549255
16268,coco-30k,Looking across the ocean at sailboats on a sunny day,62355,233994
16269,coco-30k,a cat standing in a purple litter box with green litter and lots of poop,66045,363431
16270,coco-30k,a lot of different types of luggage bags near one another,87357,278899
16271,coco-30k,A guy standing underneath an umbrella on a rainy day.,87058,160652
16272,coco-30k,A narrow living room with a couch and tv.,56099,355908
16273,coco-30k,A sunset behind a hill with a bay of boats in the foreground.,52813,365129
16274,coco-30k, a polar bear in the water holding a carrot,79790,87194
16275,coco-30k,A man in a suit speaking at  a podium,51692,43170
16276,coco-30k,A cat sitting on the keyboard of a computer on a table,32408,405174
16277,coco-30k,People board a plane in the middle of the rain.,5273,333058
16278,coco-30k,A man looking annoyed while riding on the back of an elephant,70930,251042
16279,coco-30k,A man washing an elephant in a body of water.,63380,74446
16280,coco-30k,Dog resting it's head on the arm of a couch.,74546,279994
16281,coco-30k,Two adults and a young elephant are standing near a wooden post.,84719,527193
16282,coco-30k,"A white sand beach with chairs, umbrellas and people.",55923,514296
16283,coco-30k,A small yellow car parked between two large yellow trucks.,47461,306693
16284,coco-30k,a cow walking on a city street near people ,41080,430073
16285,coco-30k,An open suitcase on the floor next to a cell phone.,99623,57091
16286,coco-30k,A man standing in the middle of a dirt field.  ,41425,558845
16287,coco-30k,A truck parked near a tall pile of hay,49279,190015
16288,coco-30k,The animal is standing by the booth at the event.,15893,182784
16289,coco-30k,A cat is lying on a computer desk beside the keyboard.,20981,354799
16290,coco-30k,A dog wearing a leash laying next to an orange frisbee.,23216,553721
16291,coco-30k,A cat looking at an elephant on a table,15502,523174
16292,coco-30k,A group of statues holding metal umbrellas near flowers.,12703,101189
16293,coco-30k,The man in the brown suit is holding a coffee mug.,48292,13473
16294,coco-30k,A large elephant carrying a man down the street,84242,210980
16295,coco-30k,A group of cows walking back out of the water,82762,17984
16296,coco-30k,"A man standing up while holding a red plastic cup and a large frisbee type disc in his hand, preparing to throw it.",77360,209544
16297,coco-30k,Two dogs in a living room watching outside through a glass door.,69598,417846
16298,coco-30k,A harbor with a passenger ship and  and grain silos,9215,455040
16299,coco-30k,two huge elephant with tusks hidden among the trees,389,201025
16300,coco-30k,A herd of cows walking along a grass covered field.,37551,9603
16301,coco-30k,a man in a cop uniform while holding a red and white umbrella and standing on a pole ,64440,306394
16302,coco-30k,A performer balancing a ball  on top of an umbrella,11687,263251
16303,coco-30k,A black cat laying on top of a brown piece of luggage.,31280,56646
16304,coco-30k,an elephant playing with a piece of wood and a fence ,539,408147
16305,coco-30k,An old mattress near parked trucks in the grass,64185,140435
16306,coco-30k,a head shot of an elephant with a man sitting in the back ground,7909,151970
16307,coco-30k,A man in a white shirt has his hands on another man's shirt collar.,38735,575156
16308,coco-30k,A couple of trucks that are sitting on a road outside of some buildings.,79727,294053
16309,coco-30k,Skateboarding preforming a mid-air stunt in a park.,80910,413684
16310,coco-30k,Woman walking on a sidewalk in front of a street with a black vehicle.,16905,137699
16311,coco-30k,A person holds a bottle toward a brown and white baby cow.,27214,535094
16312,coco-30k,A brown teddy bear lays on a bed spread.,73611,372009
16313,coco-30k,A couple of people sitting in chairs under an umbrella.,48875,215072
16314,coco-30k,a girl kneeling and posing by a black suitcase,4888,430989
16315,coco-30k,A group of monks standing on a street holding an umbrella.,29138,193946
16316,coco-30k,A cow that is grazing on some grass.,99253,22983
16317,coco-30k,Two cats are sitting in a door way.,9860,226400
16318,coco-30k,An elephant in a zoo near a watering hole.,43649,431159
16319,coco-30k,A teddy bear that has been set on a bench.,95951,338200
16320,coco-30k,An elephant walking on a dry flat land.,64803,293378
16321,coco-30k,Woman laying on a sofa with two dogs.,33678,515777
16322,coco-30k,Digital painting of a tabby cat and large dog touching noses.,85594,95805
16323,coco-30k,A fish-eye view of a stop sigh in front of a trailer,983,242869
16324,coco-30k,A long boat on churning waters next to a bouy,38814,383527
16325,coco-30k,A woman sitting next to a man holding an umbrella.,53117,76029
16326,coco-30k,a woman and a child holding umbrellas and smiling,62379,289318
16327,coco-30k,A woman riding a white horse around a barrel.,91777,337692
16328,coco-30k,An electric train pulling into the train station.,45412,516004
16329,coco-30k,"A dog laying under an office desk with two computers, a bag and other small objects.",95241,155012
16330,coco-30k,A person in red and black reaching for a person in white and black who has a Frisbee.,72126,282062
16331,coco-30k,Cows lounge in a field with a mountain backdrop.,32984,332318
16332,coco-30k,a yellow truck on a street and a traffic light ,43737,309114
16333,coco-30k,A small elephant rubbing up against a tree.,54129,76351
16334,coco-30k,An emo girl with purple hair wearing a man's neck tie.,94424,512780
16335,coco-30k,Train platform with people on it waiting for their train under a clock,67452,458079
16336,coco-30k,A large open multi- colored umbrella and tree branches.,14432,292155
16337,coco-30k,Couple of elephants standing near the gate at their zoo habitat,57822,114926
16338,coco-30k,Guy takes a picture with his back to the river and mountains,57983,10386
16339,coco-30k,A green truck cake sitting on top of a table.,75632,214975
16340,coco-30k,A large white polar bear rolling around in a body of water.,96737,218215
16341,coco-30k,a red and yellow fire truck and some buildings,27793,57363
16342,coco-30k,A young man leaing a cow down a rural country road.,94827,354242
16343,coco-30k,a male in a gray suit checked tie and silver watch,40317,423613
16344,coco-30k,A mama elephant and her two babies are standing alone in their habitat.,46777,27032
16345,coco-30k,A bunch of colorful umbrellas hanging from trees in a forest.,33386,1840
16346,coco-30k,A group of people walking down a rain soaked street holding umbrellas.,36198,86439
16347,coco-30k,A large panda bear sitting on top of a wooden post.,81166,388766
16348,coco-30k,A man with a scarf is next to a suitcase.,44681,229270
16349,coco-30k,A brown and white cat resting on wooden furniture,62279,120129
16350,coco-30k,A herd of cows are grazing on short grass.,80408,458728
16351,coco-30k,Man dressed in jeans standing in the street holding luggage.,22610,299207
16352,coco-30k,a close up of three older men standing near one another,39454,267411
16353,coco-30k,A picture of a man with his cow named Elsie.,86454,389116
16354,coco-30k,Lounge beach chairs near umbrella on sand at sunset.,99822,42793
16355,coco-30k,A marina with several boats tied up to the docks,77015,544638
16356,coco-30k,A kitten sleep on top of papers. ,46732,306173
16357,coco-30k,A man with wearing glasses and a red and white tie is smiling. ,48551,537701
16358,coco-30k,a small boat in a body of water,41352,71724
16359,coco-30k,A man is standing next to some train tracks,12118,22646
16360,coco-30k,A passenger train that is traveling down the tracks.,36582,28236
16361,coco-30k,A women who is holding a small child in a room with lots of luggage.,48329,79544
16362,coco-30k,A single elephant that is walking in an enclosure.,68293,341775
16363,coco-30k,a child on a raft with a paddle,40606,197352
16364,coco-30k,two toys for children to ride on mounted on springs,62633,345849
16365,coco-30k,A lady walks down a street with an umbrella.,64600,112160
16366,coco-30k,Two large elephants and a small elephant walking off a road.,38843,38092
16367,coco-30k,A train car has steps placed on the side of it.,94184,49075
16368,coco-30k,A small dog playing tug of war with his owner.,33129,388599
16369,coco-30k,A cat eating a part of a person sandwich ,96492,21161
16370,coco-30k,A fluffy cat laying on an electronic device,58983,343076
16371,coco-30k,Three people ride an elephant near a wall.,15130,21394
16372,coco-30k,A woman sits holding an umbrella near the group of women.,86586,213421
16373,coco-30k,A man with three cows on road next to trees.,52435,246064
16374,coco-30k,A yellow cat standing inside a box with tissue paper.,52484,262758
16375,coco-30k,An elephant and a rhinoceros stand not far from each other.,24969,109005
16376,coco-30k,A PERSON LAYING ON A BED WITH THIGH HIGHS AND HEELS,17344,61960
16377,coco-30k,An elephant standing under a tree in a field.,25260,501047
16378,coco-30k,A little cat looking at itself in a mirror.,1635,49810
16379,coco-30k,A cat on the ground with a shoe.,27236,146411
16380,coco-30k,A dog has made a bed on a stack of plastic chairs.,86051,104137
16381,coco-30k,A dog is jumping to catch a Frisbee.,3558,157099
16382,coco-30k,A brown and white cat on carpet with wall in background.,32785,226957
16383,coco-30k,a little blue over night bag on a counter,76075,158372
16384,coco-30k,A woman is sitting in a chair with an umbrella.,66448,122046
16385,coco-30k,A boat is in a muddy body of water.,85329,455588
16386,coco-30k,A cat thats lieing in a pile of shoes by the door. ,70498,545475
16387,coco-30k,Many people are walking along through the hallway.,43447,110313
16388,coco-30k,Painting of a ship in grass with lighthouse in background.,30609,39472
16389,coco-30k,A close up of an elephant's orange eye. ,39957,123410
16390,coco-30k,A woman wearing a blue coat holds a furry animal in her arms,41996,519688
16391,coco-30k,Several people are at a podium holding a frame while a man in a suit looks on.,5678,14975
16392,coco-30k,a tractor trailer parked in a parking lot,31450,303016
16393,coco-30k,a small boat in the ocean heading toward a navy ship,31674,288114
16394,coco-30k,Suitcases sitting on the carpet in the middle of a room. ,74138,418623
16395,coco-30k,A boy and a dog in a necktie,27589,34691
16396,coco-30k,A guy with a backpack looking at the ground to his left. ,97460,339468
16397,coco-30k,A bear sitting in the grass surrounded by five vultures.,81044,229997
16398,coco-30k,A brown and white animal laying on top of a bed.,37716,14831
16399,coco-30k,A woman is waiting for a train. ,95392,491835
16400,coco-30k,A group of two people waiting to cross the street under an umbrella.,6659,212573
16401,coco-30k,A bed that is made with a stuffed animal on it . ,47621,255827
16402,coco-30k,Two cows in a backyard with one sitting down and the other eating.,13869,518363
16403,coco-30k,Two cats sitting on top of a foamy chair attached to a wall.,70880,515585
16404,coco-30k,A group of people riding a raft down a rapid river.,30945,111259
16405,coco-30k,A close up shot of a cat looking at a computer.,42693,416663
16406,coco-30k,A group of people hanging out together with skateboards.,45393,329304
